par OD;origem;destino;tempo bfs S;memoria bfs;nós  bfs;distancia estimada bfs;tempo dij S;memoria dij;nós dij;distancia estimada dij;tempo astar S;memoria astar;nós astar;distancia estimada astar;subopt bfs;subopt astar
0;1553382777;1737275177;0.0006635000463575125;23632;238;1.806;0.0031575000029988587;33544;256;1.694;0.001644900010433048;20600;95;1.694;10.657.137.182.491.600;1.0
1;1641481173;1553387234;0.0005166000337339938;23632;229;1.629;0.003140399989206344;33760;245;1.304;0.00026870000874623656;3864;15;1.304;12.488.006.254.743.600;1.0
2;8939462174;1553387216;0.00043680000817403197;16592;119;1.170;0.003715300001204014;33784;227;1.134;0.000741399999242276;8192;41;1.134;10.318.701.382.947.800;1.0
3;1552441107;1641502392;0.00031450000824406743;16592;119;653;0.000950199959333986;20128;90;653;0.00020350003615021706;3264;14;653;1.0;1.0
4;1552441058;1737275187;0.0006208999548107386;23632;214;755;0.0015444000018760562;33800;156;738;0.000401599972974509;7096;26;738;10.231.706.528.667.100;1.0
5;1553382777;1737275177;0.0005181999877095222;23632;238;1.806;0.003465800022240728;33640;256;1.694;0.001762600033544004;20600;95;1.694;10.657.137.182.491.600;1.0
6;1641481173;1553387234;0.0006153999711386859;23632;229;1.629;0.003847600019071251;33760;245;1.304;0.000208800018299371;3864;15;1.304;12.488.006.254.743.600;1.0
7;8939462174;1553387216;0.0002549000200815499;16592;119;1.170;0.002245799987576902;33784;227;1.134;0.0008982999715954065;8192;41;1.134;10.318.701.382.947.800;1.0
8;1552441107;1641502392;0.00025290000485256314;16592;119;653;0.0008048000163398683;20128;90;653;0.00018740002997219563;3264;14;653;1.0;1.0
9;1552441058;1737275187;0.0004749000072479248;23632;214;755;0.0019496000022627413;33800;156;738;0.0007619999814778566;7096;26;738;10.231.706.528.667.100;1.0
